2020-01-28 23:23:14,"b'After exhaustive search for alternative to #quicken, succumbed to their forsaken subscription model. installed late\xe2\x80\xa6 https://t.co/bk30HBtc1E'"
2020-01-28 18:56:06,"b'@Intuit not happy about the forced upgrade to #quicken.  As an small business owner with only me as an employee, $1\xe2\x80\xa6 https://t.co/ExEkDOrM2l'"
2020-01-28 16:08:48,b'Quicken Support Phone Number +1-888-404-0402\nWhat services we provide:\n Manage accounting and finances\nRead more:\xe2\x80\xa6 https://t.co/iWoGuw3UVS'
2020-01-28 03:42:17,"b'RT @ChiMusicStore: #Affirmation I love watching my catchy JOY TAKE the stares, to raise others EMOTIONS causing infinite SHARES. #Smile #Ha\xe2\x80\xa6'"
2020-01-27 15:08:03,"b'Why Quicken Accounting Software is useful? If we go to the old-time, then people Read more: https://t.co/msqk3NnEIE\xe2\x80\xa6 https://t.co/OzLvROKBDA'"
2020-01-27 08:05:29,"b'#Quicken has several support options to suit your needs.  Before contacting support, we recommend that you check to\xe2\x80\xa6 https://t.co/i0OteEX5Si'"
2020-01-25 13:14:15,"b'Are you need a Quicken Support Number?\nIn today\xe2\x80\x99s day, it is a waste of time to manage your expenses. Read more:\xe2\x80\xa6 https://t.co/8X0eQE0UZP'"
2020-01-25 03:29:35,"b'RT @gracewillows201: ""Hurry or you\'ll miss it!"" \nHe quickened his step, following her to the edge of the meadow. As he reached the last few\xe2\x80\xa6'"
2020-01-24 23:46:51,"b'ISO alternatives to #quicken subscription model. Just received my ""we\'re cancelling you"" notice from them'"
2020-01-24 20:35:52,b'RT @pprobinson: There is an epidemic ongoing. #Peloton - need a new screen to be supported. #Sonos debacle on being bricked (then maybe not\xe2\x80\xa6'
2020-01-24 20:19:59,b'There is ZERO reason why a non-subscription should BREAK all services. I call BULLSHIT on #Quicken https://t.co/X5rt4u4T7k'
2020-01-24 19:14:49,b'There is an epidemic ongoing. #Peloton - need a new screen to be supported. #Sonos debacle on being bricked (then m\xe2\x80\xa6 https://t.co/yzMWK1GZt3'
2020-01-24 17:35:37,"b""Didn't think there was another way for #intuit #quicken to screw me but I am wrong! Now they are once again sunsett\xe2\x80\xa6 https://t.co/f1EgLVnvJb"""
2020-01-24 16:58:51,b'RT @patrici30730227: No time to waste\nAnother hectic day\nwhere I steal for me\nhere and there \na few moments \nA race\nin the same place\nleadi\xe2\x80\xa6'
2020-01-24 16:57:49,b'RT @patrici30730227: No time to waste\nAnother hectic day\nwhere I steal for me\nhere and there \na few moments \nA race\nin the same place\nleadi\xe2\x80\xa6'
2020-01-24 16:29:12,b'RT @JoeTechnology: KMyMoney 5.0.8 was released | https://t.co/GE0SJGHnO1 | #kmymoney #personalfinance #accounting #linux #bsd #windows #mac\xe2\x80\xa6'
2020-01-24 16:29:04,b'RT @JoeTechnology: KMyMoney 5.0.8 was released | https://t.co/GE0SJGHnO1 | #kmymoney #personalfinance #accounting #linux #bsd #windows #mac\xe2\x80\xa6'
2020-01-24 16:29:00,b'KMyMoney 5.0.8 was released | https://t.co/GE0SJGHnO1 | #kmymoney #personalfinance #accounting #linux #bsd #windows\xe2\x80\xa6 https://t.co/YS39kjmwQN'
2020-01-24 16:02:52,"b""RT @FennelSteuert: She asked Hercules if he'd introduce her to his sister who happens to know peace.\n'Aphrodite?'\n'No. Does she not #quicke\xe2\x80\xa6"""
2020-01-24 15:59:58,b'RT @patrici30730227: No time to waste\nAnother hectic day\nwhere I steal for me\nhere and there \na few moments \nA race\nin the same place\nleadi\xe2\x80\xa6'
2020-01-24 15:59:52,"b""RT @FennelSteuert: She asked Hercules if he'd introduce her to his sister who happens to know peace.\n'Aphrodite?'\n'No. Does she not #quicke\xe2\x80\xa6"""
2020-01-24 11:51:55,b'RT @patrici30730227: No time to waste\nAnother hectic day\nwhere I steal for me\nhere and there \na few moments \nA race\nin the same place\nleadi\xe2\x80\xa6'
2020-01-24 11:48:56,"b""She asked Hercules if he'd introduce her to his sister who happens to know peace.\n'Aphrodite?'\n'No. Does she not\xe2\x80\xa6 https://t.co/M5tJmFb60p"""
2020-01-24 11:29:27,b'RT @patrici30730227: No time to waste\nAnother hectic day\nwhere I steal for me\nhere and there \na few moments \nA race\nin the same place\nleadi\xe2\x80\xa6'
2020-01-24 11:17:11,b'No time to waste\nAnother hectic day\nwhere I steal for me\nhere and there \na few moments \nA race\nin the same place\nle\xe2\x80\xa6 https://t.co/uOiepHU6yF'
